angDist,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,_RAJ2000,_DEJ2000,recno,GaiaDR2,RA_ICRS,DE_ICRS,Distcore,Member,MS,Xraycat,SepX-ray,X-rayID,LX,Per,2RXSID,2RXPID,1RXHID,ChandraID,_RA.icrs,_DE.icrs
1.161557,240609716,326.31041291635,46.82704814409,,,685-107740,21451449+4649373,1237671938748318397,J214514.55+464937.7,1974650728035622272,,,STAR,tmgaia2,tmgaia2,60.226,0.045,44.595,0.046,gaia2,8.7048,0.0293,12.214,0.057,12.020000,0.000396,11.321,0.006,rered,gaia2,4474.0,127.9,4.5379,0.0938,,,0.747,0.058,0.702,0.079,114.5000,0.3870,0.0088,0.0111,0.3860,0.3880,326.31079190621,46.82724015140,326.310791906207,46.8272401513971,1056,1974650728035622272,326.31079190621,46.8272401514,120.188986620723,Tail,M,2RXS_UP,,,9.43842100892811,,,,,,326.31079190621,46.8272401514
0.951333,342208355,326.34864666967,54.10038772463,,,,21452369+5406012,,J214523.72+540601.7,2173543349200848896,,,STAR,tmgaia2,tmgaia2,48.258,0.123,37.924,0.096,gaia2,6.9762,0.0638,17.690,0.200,16.282301,0.001268,14.946,0.008,cdwrf,cdwrf,3243.0,157.0,4.8611,0.0014,,,0.363,0.011,0.350,0.021,142.7730,1.3115,0.0396,0.0275,1.2990,1.3240,326.34900101840,54.10055100731,326.349001018402,54.1005510073137,1057,2173543349200848896,326.3490010184,54.10055100731,144.89627421302,Tail,M,2RXS_UP,,,16.3992994352686,,,,,,326.3490010184,54.10055100731
4.394414,2017495451,326.34768607202,54.09960468646,,,,,,,2173543349195851648,,,STAR,gaia2,gaia2,0.198,3.300,-4.241,2.617,gaia2,-2.1133,1.9474,21.591,0.153,20.836201,0.013837,19.901,0.047,gbprp,gaia2,,,,,,,,,,,2682.1899,1811.3600,0.9307,0.3350,1376.0300,2246.6899,326.34768752952,54.09958642514,326.349001018402,54.1005510073137,1057,2173543349200848896,326.3490010184,54.10055100731,144.89627421302,Tail,M,2RXS_UP,,,16.3992994352686,,,,,,326.3490010184,54.10055100731
0.903264,342628668,327.07662749316,54.95041982669,,,,21481839+5457014,,,2174714840172860928,,,STAR,tmgaia2,tmgaia2,45.862,0.330,35.954,0.285,gaia2,6.9518,0.1914,,,18.139601,0.001900,16.675,0.009,cdwrf,cdwrf,3065.0,158.0,5.1066,0.0223,,,0.178,0.008,0.148,0.021,143.4540,3.9730,0.0147,0.0236,3.8650,4.0810,327.07697133029,54.95057462869,327.076971330292,54.9505746286853,1058,2174714840172860928,327.07697133029,54.95057462869,144.834210595572,Tail,M,2RXS_UP,,,16.4605656857721,,,,,,327.07697133029,54.95057462869
1.193297,346126586,327.39034932367,46.28830329109,,,682-112255,21493368+4617179,,J214933.74+461718.2,1974398394424385408,,,STAR,tmgaia2,tmgaia2,62.112,0.091,45.487,0.077,gaia2,9.0131,0.0497,16.860,0.200,15.551900,0.000599,14.278,0.007,cdwrf,cdwrf,3347.0,157.0,4.8678,0.0004,,,0.356,0.011,0.342,0.020,110.6010,0.6130,0.0203,0.0171,0.6100,0.6160,327.39073632149,46.28849913855,327.390736321493,46.2884991385523,1059,1974398394424385408,327.39073632149,46.28849913855,116.171899537843,Tail,M,2RXS_UP,,,8.99812978036028,,,,,,327.39073632149,46.28849913855
2.740653,2009528452,327.39109196367,46.28777860514,,,,,,,1974398390125070208,,,STAR,gaia2,gaia2,-1.227,0.251,-1.450,0.213,gaia2,-0.2163,0.1349,18.694,0.070,18.320400,0.001585,17.620,0.008,gbprp,gaia2,,,,,,,,,,,5772.6602,1901.6100,0.2753,0.0310,1574.3900,2228.8401,327.39108431962,46.28777236136,327.390736321493,46.2884991385523,1059,1974398394424385408,327.39073632149,46.28849913855,116.171899537843,Tail,M,2RXS_UP,,,8.99812978036028,,,,,,327.39073632149,46.28849913855
1.806059,16786818,327.60930466254,24.40784327073,,,573-128433,21502622+2424281,1237680332164235512,J215026.31+242428.8,1795943907717074304,45773328,,STAR,tmgaia2,tmgaia2,103.617,0.060,53.296,0.064,gaia2,14.8113,0.0405,13.639,0.030,12.772000,0.000463,11.711,0.007,cdwrf,cdwrf,3666.0,157.0,4.7031,0.0092,,,0.539,0.016,0.536,0.020,67.3852,0.1853,,,,,327.60979457631,24.40807273826,327.609794576309,24.4080727382564,1060,1795943907717074304,327.60979457631,24.40807273826,83.2335843379089,Tail,M,2RXS_UP,,,6.99981312719121,,,,,,327.60979457631,24.40807273826
1.976522,452738976,327.75505569158,27.34115106585,,,587-121927,21510121+2720281,1237680328944648506,J215101.30+272028.7,1799986197794486272,47096882,,STAR,tmgaia2,tmgaia2,113.042,0.147,59.010,0.126,gaia2,15.4168,0.0750,15.701,0.053,15.737900,0.000836,14.326,0.008,cdwrf,cdwrf,3113.0,157.0,4.9867,0.0131,,,0.250,0.008,0.221,0.020,64.7456,0.3168,,,0.3153,0.3183,327.75560360942,27.34140513948,327.755603609416,27.3414051394782,1061,1799986197794486272,327.75560360942,27.34140513948,80.3347977136354,Tail,M,2RXS_UP,,,4.85304921968412,,,,,,327.75560360942,27.34140513948
0.940184,370528346,328.63661829351,50.73523278649,,,704-091563,21543279+5044068,,J215432.84+504407.2,1979866781155820928,,,STAR,tmgaia2,tmgaia2,49.400,0.072,35.199,0.077,gaia2,7.3091,0.0431,16.630,0.200,15.498900,0.000820,14.274,0.008,cdwrf,cdwrf,3412.0,157.0,4.8154,0.0045,,,0.412,0.013,0.405,0.020,136.2830,0.8065,0.0266,0.0164,0.8020,0.8110,328.63695435078,50.73538433779,328.636954350783,50.7353843377918,1062,1979866781155820928,328.63695435078,50.73538433779,138.500341692408,Tail,M,2RXS_UP,,,14.4368216129786,,,,,,328.63695435078,50.73538433779
2.828836,2011993364,328.63790450241,50.73487853921,,,,,,,1979866781148266880,,,STAR,gaia2,gaia2,-2.525,0.347,-2.773,0.380,gaia2,-0.0779,0.2000,19.269,0.061,18.812099,0.002140,18.047,0.015,gbprp,gaia2,,,,,,,,,,,4016.6699,1603.3101,0.3526,0.0750,1265.8000,1940.8101,328.63788732766,50.73486660038,328.636954350783,50.7353843377918,1062,1979866781155820928,328.63695435078,50.73538433779,138.500341692408,Tail,M,2RXS_UP,,,14.4368216129786,,,,,,328.63695435078,50.73538433779
