Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
                       |19 02 11.81|+37 01 38.8|Field   | 56.0|12.79| 3.55|     |28.75| 7.08| 0.54| 0.46| 0.06|3868| 0.54|-3.58
                       |19 04 50.80|+39 09 45.0|Field   | 34.0|14.30| 4.26|     |28.38| 1.96| 0.24| 0.24| 0.01|3407| 0.00|-3.15
HD 178428              |19 07 57.32|+16 51 12.2|Field   | 21.0| 6.08| 1.62|G4   |28.23|22.00| 1.17| 1.13| 1.57|5901| 0.82|-5.51
HD 180161              |19 12 11.36|+57 40 19.1|Field   | 20.0| 7.04| 1.77|G8   |28.67| 5.49| 0.96| 0.88| 0.60|5255| 0.72|-4.61
                       |19 21 32.10|+42 30 52.1|Field   | 13.0|11.91| 4.15|     |28.06|15.65| 0.27| 0.26| 0.01|3470| 0.00|-3.57
                       |19 51 09.31|+46 28 59.9|Field   |  6.4|12.97| 5.20|     |27.64| 0.59| 0.13| 0.14| 0.00|3034| 0.00|-3.26
HD 187897              |19 52 09.39|+07 27 36.2|Field   | 33.0| 7.14| 1.64|G5   |28.69|11.00| 1.16| 1.11| 1.50|5868| 0.82|-5.01
GJ GJ1245A             |19 53 54.43|+44 24 54.2|Field   | 13.0|10.70| 3.84|     |28.51| 0.26| 0.39| 0.34| 0.02|3650| 0.09|-3.44
HD 189733              |20 00 43.71|+22 42 39.1|Field   | 19.0| 7.67| 1.64|G5   |28.45|11.80| 0.84| 0.75| 0.31|4780| 0.68|-4.66
HD 190007              |20 02 47.04|+03 19 34.3|Field   | 13.0| 7.46| 2.73|K4   |27.82|28.95| 0.80| 0.72| 0.24|4642| 0.68|-5.11
HD 190406              |20 04 06.22|+17 04 12.6|Field   | 18.0| 5.80| 1.46|G1   |27.99|13.94| 1.14| 1.09| 1.41|5825| 0.76|-5.68
HD 193017              |20 18 10.01|-04 43 43.2|Field   | 37.0| 7.27| 1.29|F8   |28.47| 8.90| 1.16| 1.11| 1.52|5875| 0.82|-5.25
GJ 791.2               |20 29 48.34|+09 41 20.2|Field   |  8.7|13.05| 5.74|     |27.88| 0.32| 0.19| 0.20| 0.01|3264| 0.00|-3.44
                       |20 35 53.02|+10 06 11.8|Field   | 83.0|12.75| 3.28|     |29.68| 0.96| 0.66| 0.56| 0.11|4115| 0.65|-2.93
                       |20 38 14.41|+23 07 52.4|Field   | 11.0|13.20| 4.84|     |27.84| 8.40| 0.15| 0.17| 0.00|3158| 0.00|-3.27
GJ 799A/B              |20 41 51.16|-32 26 06.8|Field   | 11.0|10.25| 4.26|M4   |29.48| 0.78| 0.46| 0.39| 0.04|3744| 0.54|-2.65
                       |20 43 34.53|+24 07 40.8|Field   | 10.0|11.68| 4.28|     |28.62| 0.80| 0.24| 0.23| 0.01|3398| 0.00|-2.90
HD 197481              |20 45 09.53|-31 20 27.2|Field   |  9.9| 8.81| 3.73|M1   |29.40| 4.85| 0.60| 0.51| 0.08|3969| 0.61|-3.07
HD 199019              |20 49 29.34|+71 46 29.2|Field   | 35.0| 8.23| 1.64|G5   |28.91| 6.54| 0.97| 0.88| 0.60|5259| 0.72|-4.42
HD 199143              |20 55 47.67|-17 06 51.0|Field   | 48.0| 7.27| 1.29|F8   |30.57| 0.54| 1.28| 1.30| 2.57|6244| 0.88|-3.39
HD 200746              |21 05 07.95|+07 56 43.6|Field   | 44.0| 7.97| 1.64|G5   |28.97| 7.61| 1.12| 1.05| 1.23|5743| 0.76|-4.67
HD 201091              |21 06 53.42|+38 44 53.0|Field   |  3.5| 5.20| 2.83|K5   |27.28|35.37| 0.72| 0.63| 0.15|4298| 0.65|-5.39
HD 201092              |21 06 55.26|+38 44 31.4|Field   |  3.5| 6.05| 3.41|K7   |26.94|37.84| 0.64| 0.55| 0.10|4073| 0.61|-5.58
HD 201219              |21 07 56.52|+07 25 58.6|Field   | 36.0| 8.01| 1.64|G5   |28.46|16.00| 1.02| 0.94| 0.78|5440| 0.72|-4.96
HD 201989              |21 14 01.80|-29 39 48.7|Field   | 30.0| 7.38| 1.59|G3/G5|28.88|14.80| 1.06| 0.98| 0.95|5569| 0.76|-4.63
                       |21 15 41.93|+17 46 24.3|Field   | 70.0|12.30| 3.26|     |29.23| 9.02| 0.67| 0.57| 0.11|4141| 0.65|-3.41
HD 203030              |21 18 58.22|+26 13 50.0|Field   | 41.0| 8.45| 1.77|G8   |29.02| 6.67| 0.99| 0.91| 0.68|5360| 0.72|-4.37
HD 204277              |21 27 06.61|+16 07 27.0|Field   | 34.0| 6.72| 1.29|F8   |29.27| 4.50| 1.24| 1.23| 2.14|6112| 0.82|-4.61
HD 205905              |21 39 10.15|-27 18 23.7|Field   | 26.0| 6.75| 1.54|G2   |28.48|11.18| 1.12| 1.06| 1.25|5754| 0.76|-5.14
HD 206374              |21 41 06.20|+26 45 02.4|Field   | 27.0| 7.45| 1.77|G8   |28.41|19.20| 1.01| 0.93| 0.75|5416| 0.72|-5.00
HD 206860              |21 44 31.33|+14 46 19.0|Field   | 18.0| 5.96| 1.42|G0   |29.25| 4.86| 1.13| 1.07| 1.30|5775| 0.76|-4.39
GJ 1264A               |21 49 05.84|-72 06 09.0|Field   | 16.0| 9.80| 3.73|M1   |29.22| 6.67| 0.61| 0.52| 0.08|3998| 0.61|-3.28
                       |21 57 02.11|+38 26 31.6|Field   | 53.0|12.70| 3.56|     |28.94| 9.65| 0.53| 0.45| 0.05|3855| 0.54|-3.38
GJ 841A                |21 57 41.21|-51 00 22.2|Field   | 16.0|10.36| 3.79|M2   |28.65| 1.12| 0.52| 0.44| 0.05|3834| 0.54|-3.63
                       |22 00 51.48|+33 53 38.0|Field   | 79.0|13.28| 3.48|     |29.12|10.17| 0.57| 0.48| 0.07|3922| 0.61|-3.29
G 188-38               |22 01 13.11|+28 18 24.9|Field   |  8.9|11.99| 5.21|     |28.43| 0.52| 0.26| 0.25| 0.01|3444| 0.00|-3.15
HD 209393              |22 02 05.39|+44 20 35.4|Field   | 34.0| 7.96| 1.64|G5   |28.62| 7.20| 1.00| 0.92| 0.71|5392| 0.72|-4.87
HD 209253              |22 02 32.96|-32 08 01.5|Field   | 30.0| 6.63| 1.19|F6/F7|29.29| 3.00| 1.20| 1.18| 1.83|6015| 0.82|-4.50
HD 209779              |22 06 05.34|-05 21 28.9|Field   | 36.0| 7.57| 1.42|G0   |29.20|10.10| 1.10| 1.02| 1.10|5678| 0.76|-4.40
                       |22 06 05.65|+47 34 07.4|Field   | 25.0|13.19| 4.11|     |29.01| 1.19| 0.28| 0.27| 0.01|3490| 0.00|-2.65
HD 210667              |22 11 11.91|+36 15 22.8|Field   | 22.0| 7.23| 1.95|K0   |28.50| 9.08| 0.99| 0.90| 0.67|5349| 0.72|-4.82
                       |22 14 21.51|+33 37 21.0|Field   | 33.0|13.90| 4.15|     |28.38| 1.81| 0.27| 0.26| 0.01|3467| 0.00|-3.24
                       |22 17 06.96|+36 27 16.4|Field   | 21.0|14.38| 4.71|     |28.06| 7.04| 0.17| 0.18| 0.00|3208| 0.00|-3.15
                       |22 18 42.66|+33 21 13.7|Field   | 12.0|13.16| 4.72|     |27.97|14.75| 0.17| 0.18| 0.00|3203| 0.00|-3.23
V383 Lac               |22 20 07.03|+49 30 11.8|Field   | 34.0| 8.67| 2.17|     |30.03| 2.47| 0.91| 0.81| 0.43|5040| 0.70|-3.15
                       |22 26 53.17|+35 46 07.0|Field   | 27.0|14.76| 4.67|     |28.24| 3.55| 0.17| 0.19| 0.00|3223| 0.00|-3.00
GJ 860B                |22 27 59.57|+57 41 45.3|Field   |  4.0| 9.59| 4.81|     |27.37| 0.41| 0.30| 0.28| 0.01|3521| 0.00|-4.33
GJ 867A                |22 38 45.57|-20 37 16.1|Field   |  8.7| 9.07| 3.79|M2   |29.32| 4.23| 0.51| 0.44| 0.05|3826| 0.54|-2.95
                       |22 42 07.53|+39 02 43.8|Field   | 32.0|14.61| 4.46|     |28.32| 0.56| 0.21| 0.21| 0.01|3312| 0.00|-3.08
GJ 873                 |22 46 49.73|+44 20 02.4|Field   |  5.1|10.20| 4.90|     |28.61| 4.38| 0.30| 0.28| 0.01|3521| 0.00|-3.10
GJ 875                 |22 50 19.43|-07 05 24.4|Field   | 14.0| 9.85| 3.75|     |29.01| 1.60| 0.55| 0.47| 0.06|3886| 0.61|-3.35
HD 216803              |22 56 24.05|-31 33 56.0|Field   |  7.6| 6.48| 2.73|K4   |28.30|10.30| 0.77| 0.68| 0.21|4507| 0.68|-4.60
HD 216803              |22 56 24.05|-31 33 56.0|Field   |  7.6| 6.48| 2.73|K4p  |28.33| 9.87| 0.77| 0.68| 0.21|4507| 0.68|-4.57
HD 217014              |22 57 27.98|+20 46 07.8|Field   | 15.0| 5.45| 1.64|G5   |26.50|37.00| 1.16| 1.11| 1.51|5874| 0.82|-7.20
                       |23 02 52.51|+43 38 15.7|Field   |  8.5|13.75| 5.29|     |27.29| 0.35| 0.12| 0.14| 0.00|3004| 0.00|-3.58
                       |23 04 34.06|+40 14 37.8|Field   | 38.0|12.77| 3.77|     |28.80| 3.56| 0.43| 0.37| 0.03|3704| 0.09|-3.26
                       |23 05 08.71|+45 17 31.8|Field   | 13.0|13.10| 4.64|     |28.36| 1.28| 0.18| 0.19| 0.00|3236| 0.00|-2.91
GJ 890                 |23 08 19.55|-15 24 35.8|Field   | 22.0|10.60| 3.49|     |29.02| 0.43| 0.56| 0.47| 0.06|3902| 0.61|-3.37
                       |23 11 38.74|+45 32 25.5|Field   | 66.0|12.54| 3.38|     |28.92| 6.85| 0.62| 0.53| 0.09|4019| 0.61|-3.60
                       |23 11 51.80|+48 31 08.7|Field   | 77.0|13.06| 3.43|     |29.20| 0.84| 0.60| 0.51| 0.08|3970| 0.61|-3.27
                       |23 12 32.33|+39 11 33.1|Field   | 33.0|14.33| 4.33|     |28.33| 2.47| 0.23| 0.23| 0.01|3374| 0.00|-3.16
                       |23 16 30.77|+46 48 52.8|Field   |109.0|12.81| 3.08|     |29.55| 1.91| 0.72| 0.63| 0.15|4315| 0.65|-3.22
HD 219834B             |23 19 06.67|-13 27 30.8|Field   | 21.0| 5.20| 1.77|G8   |27.70|42.00| 1.37| 1.42| 3.52|6459| 0.93|-6.43
HD 220182              |23 21 36.51|+44 05 52.4|Field   | 22.0| 7.36| 2.03|K1   |28.69| 7.49| 0.96| 0.87| 0.58|5233| 0.72|-4.41
GJ 896B                |23 31 52.56|+19 56 13.9|Field   |  6.2|12.40| 6.14|     |28.62| 0.20| 0.21| 0.22| 0.01|3328| 0.00|-2.80
GJ 897A                |23 32 46.61|-16 45 07.9|Field   | 15.0|10.38| 4.10|M3   |29.10| 4.83| 0.54| 0.46| 0.06|3874| 0.54|-3.25
2MASS J23581063+6733594|23 58 10.67|+67 33 59.7|Field   | 44.0| 8.74| 1.91|     |29.16| 0.49| 0.98| 0.89| 0.64|5311| 0.72|-4.24
