Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
2MASS J08394103+1959288|08 39 41.12|+19 59 28.8|Praesepe|182.0|15.29| 3.89|     |28.78| 4.27| 0.61| 0.51| 0.08|3990| 0.61|-3.71
2MASS J08394521+2007274|08 39 45.25|+20 07 27.5|Praesepe|182.0|17.49| 5.12|     |28.84| 5.75| 0.41| 0.36| 0.03|3682| 0.09|-3.16
2MASS J08394575+1922011|08 39 46.00|+19 22 01.5|Praesepe|182.0|10.66| 1.42|G0   |29.33| 5.90| 1.19| 1.15| 1.67|5969| 0.81|-4.48
2MASS J08394730+1939344|08 39 47.25|+19 39 34.9|Praesepe|182.0|17.96| 4.98|     |28.36| 1.67| 0.32| 0.29| 0.02|3549| 0.00|-3.40
VXR 12                 |08 39 53.09|-52 57 59.0|IC2391  |144.0|11.86| 2.04|     |29.62| 3.86| 0.89| 0.81| 0.42|4997| 0.70|-3.58
2MASS J08395441+1927372|08 39 54.52|+19 27 37.9|Praesepe|182.0|18.42| 4.98|     |28.18| 1.28| 0.26| 0.25| 0.01|3448| 0.00|-3.41
2MASS J08400416+1924502|08 40 04.26|+19 24 51.0|Praesepe|182.0|18.02| 4.97|     |28.68| 2.65| 0.31| 0.29| 0.01|3538| 0.00|-3.06
2MASS J08400571+1901307|08 40 05.71|+19 01 30.4|Praesepe|182.0|12.62| 2.53|     |29.92| 4.80| 0.90| 0.80| 0.41|5013| 0.70|-3.28
VXR 14                 |08 40 06.23|-53 38 06.9|IC2391  |144.0|10.45| 1.52|     |30.16| 1.32| 1.16| 1.08| 1.36|5826| 0.81|-3.56
2MASS J08401345+1946436|08 40 13.47|+19 46 42.9|Praesepe|182.0|13.19| 2.47|     |29.08| 5.68| 0.80| 0.72| 0.24|4634| 0.68|-3.89
2MASS J08402554+1928328|08 40 25.60|+19 28 33.7|Praesepe|182.0| 9.89| 1.07|F4.8 |29.10|13.15| 1.36| 1.37| 3.29|6459| 0.93|-5.01
2MASS J08403347+1938009|08 40 33.37|+19 38 02.7|Praesepe|182.0|12.20| 1.95|     |28.66| 9.34| 0.93| 0.84| 0.50|5125| 0.70|-4.62
2MASS J08404426+2028187|08 40 44.34|+20 28 18.2|Praesepe|182.0|13.93| 3.45|     |28.95| 4.27| 0.77| 0.69| 0.21|4522| 0.68|-3.95
2MASS J08412446+2007495|08 41 24.54|+20 07 49.0|Praesepe|182.0|16.46| 4.74|     |28.90| 1.37| 0.52| 0.44| 0.05|3840| 0.54|-3.38
VXR 35a                |08 41 25.88|-53 22 41.6|IC2391  |144.0|12.56| 2.84|     |30.10| 0.53| 0.82| 0.77| 0.30|4725| 0.67|-2.96
2MASS J08412602+1959151|08 41 25.99|+19 59 13.9|Praesepe|182.0|18.23| 5.08|     |29.25| 4.46| 0.29| 0.27| 0.01|3513| 0.00|-2.44
